Name,URL,Product,Telephone,Adress
Adolfo Domiguez,http://www.adolfodominguez.com,Moda,932720492,"Carrer Gran de Gràcia,77"
Alsina,,Moda,932176245,"Carrer Gran de Gràcia, 237"
Annabel,http://www.annabelfloristeria.es,Floristeria,932183480,"Carrer Gran de Gràcia,123"
Antico cafè,,Cafeteria,607999947,"Carrer Gran de Gràcia,152"
Arc Iris Home,http://www.arciris.cat,Moda Home,932183777,"Carrer Gran de Gràcia, 198"
Arc Iris Infantil i llar,http://www.arciris.cat,Infantil i llar,934159339,"Carrer Gran de Gràcia,196"
Arcopeico,http://www.arcopedicoshoes.com,Sabateria,932 389291,"Carrer Gran de Gràcia,26"
Arya,,,933688666,
Aura,,Llibreria,932371086,"Carrer Gran de Gràcia,38"
Banc de Sabadell,http://www.bancsabadell.com,Banc,934153177,"Carrer Gran de Gràcia,90"
Baró,http://www.baro-online.com,Joiers,932385158,"Carrer Gran de Gràcia,153"
B.B.B,,sabateria,,
B-Kover,http://www.bkover.com,Complements telefonia,934143169,"Carrer Gran de Gràcia,126"
Boboli,http://www.boboli.es,Moda infantil,932375670,"Carrer Gran de Gràcia,98"
Bossanova,https://www.bosanova.es,Complements,932373843,"Carrer Gran de Gràcia,78"
Botafumeiro,http://www.botafumeiro.es,Restaurant,934155665,"Carrer Gran de Gràcia,81"
Cache-cache,http://www.cache-cache.es,Moda,932721913,"Carrer Gran de Gràcia,45"
Cal Seballut,,Carnisseria,936674593,"Carrer Gran de Gràcia,188"
Capell,https://www.capell.co,Barrets,639434178,"Carrer Gran de Gràcia, 202"
Carpinteria de aluminio Hermanos Jurado,http://www.hnosjurado.com/,Alumini,934155726,"Carrer Gran de Gràcia, 244"
Casas,http://www.casasclub.com,Sabateria,937362860,"Carrer Gran de Gràcia,85"
Casas OUTLET,https://www.casasclub.com,Sabateria,932188621,"Carrer Gran de Gràcia, 239"
Castellà vidres,,"Vidres, miralls, alumini",93 218 12 31,"Ros de Olano, 7"
Celio,http://celio.cl,Moda,934618074,"Carrer Gran de Gràcia,71"
Centre Estudis Financers,http://www.cef.es,Acadèmia,934150988,"Carrer Gran de Gràcia,171"
Century21,http://xarxa.century21.es,Immobiliària,934581700,"Carrer Còrsèga, 411"
Clínica Veterinaria Marin,,Veterinari i botiga mascotes,93 238 03 48,"Rambla del Prat, 17"
Complementa,http:// www.complementabarcelona.com,Accessoris i complements de moda per dona,9323746979,"Carrer Gran de Gràcia, 199"
Culinarium,http://www.culinarium.es,Objectes cuina,933686881,"Carrer Gran de Gràcia,69"
del be a la manta,https://delbealamanta.com,Roba de la llar,932176947,"Carrer Gran de Gràcia,86"
DiR Gràcia,http://www.dir.cat,Gimnàs,,"Carrer Gran de Gràcia,37"
Electro Norma,,Electrodomèstics,932375250,"Carrer Gran de Gràcia,87"
El Picoteo,,Restaurant,934158576,"Carrer Gran de Gràcia,162"
El premi al vencedor,http://www.premialvencedor.com,Trofeus,932188230,"Carrer Gran de Gràcia, 200"
Estanc 107,,Estanc,633700333,
Estanc Loteria Fontana,,Estanc,932179876,"Carrer Gran de Gràcia,164"
Estètica Activa,,Estètica,932188464,"Carrer Gran de Gràcia,88"
Farmàcia Gran de Gràcia,,Farmàcia,932177245,"Carrer Gran de Gràcia,58"
Farmàcia Guerra,,Farmàcia i perfumeria,932170451,"Carrer Gran de Gràcia,166"
Farmàcia MID,https://www.facebook.com/pg/farmaciamidgracia/about/?ref=page_internal,Farmàcia i salut natural,932175537,"Gran de Gràcia, 237"
Farmàcia Tello,,Farmàcia i perfumeria,932183894,"Carrer Gran de Gràcia,167"
Ferretaria Pagès,,Ferreteria,932179621,"Carrer Gran de Gràcia,148"
Ferreteria Camps,,Ferreteria,932170100,"Carrer Gran de Gràcia,73"
Fil d’or,,Merceria,932180696,"Carrer Gran de Gràcia,51"
Finques Laplana,http://www.finqueslaplana.net,Administradors de finques,93 217 16 39,"Gran de Gràcia, 229 Esc. dreta Pral. 1ª"
Flor de Lis,http:// flordelispasionporlasflores.blogspot.com,Floristeria,932 18 23 77,"Calle Cigne , 15"
Forn de Sant Tirs,,Fleca,932185698,"Carrer Gran de Gràcia,70"
FotoBit,http://fotobit.com,Fotografia,932375136,"Carrer Gran de Gràcia,158"
Frankfurt Vallès,,Frankfurt,932175798,"Carrer Gran de Gràcia,84"
Gasela,,Moda,932181243,"Carrer Gran de Gràcia,112"
Gràcia qualitat,,Cafeteria,639401027,"Carrer Gran de Gràcia,105"
Jack Beds,https://www.jackbeds.com,Matalasseria,93 519 02 82,Carrer Sant Joaquim 28
La Farga,http://www.fargabarcelona.com,Pastisseria i cafeteria,932189670,"Gran de Gràcia, 262"
Lain,,Moda,932380469,"Gran de Gràcia, 218"
La taverna del cura,,Restaurant,932181799,"Carrer Gran de Gràcia,83"
La Terminal,http://www.laterminalbcn.com,Restaurant,932509681,"Carrer Gran de Gràcia,57"
L’hora exacta,http://www.barcelonajewels.com,Joieria Rellotgeria,932377530,"Carrer Gran de Gràcia,42"
L’Occitane,http://es.loccitane.com/,Perfums,933686470,"Carrer Gran de Gràcia,76"
Mail Boxes,https://www.mbe.es,Missatgeria i serveis d'impressió,932226999,"Gran de Gràcia, 231"
Marcs Palou,http://www.marcspalou.es,Enmarcació,932182009,"Carrer Gran de Gràcia,79"
Mas,,Supermercat,933133104,"Carrer Gran de Gràcia,93"
Montse Interiors,http://www.montseinteriors.com,Roba llar,606976674,"Carrer Gran de Gràcia,55"
Nico Pizzeria,,"Pizza, pasta, amanides",932185386,"Carrer Gran de Gràcia,123"
Orient Express,http://regalosorientexpress.com,Regal,932187137,"Carrer Gran de Gràcia,134"
Pampling,http://www.pampling.com,Samarretes originals,931 46 51 41,"Carrer Gran de Gràcia, 40"
Persianes Tarragó,http://www.persianastarrago.es,Persianes,932177447,"Carrer Gran de Gràcia, 212"
Promise,http://promise.es,Moda Intima,937604920,"Carrer Gran de Gràcia,129"
Punto Blanco,https://www.puntoblanco.com,Moda Intima,938035252,"Carrer Gran de Gràcia,127"
Servent,http://serventshoes.com,Sabateria,932185288,"Carrer Gran de Gràcia,114"
Sicart,,Xarcuteria,934157192,"Carrer Gran de Gràcia,111"
Simo,,Electricitat,932189231,"Carrer Gran de Gràcia,35"
Smash,http://www.smash-wear.com,Moda,934154510,"Carrer Gran de Gràcia,144"
SmellMe,,Olors i perfums per la llar,936 24 06 76,"Gran de Gràcia, 63"
Sony Gallery,http://www.homegallery.es,Electrònica,932373500,"Carrer Gran de Gràcia,66"
Stylo,,Sabateria,932374372,"Carrer Gran de Gràcia,144"
Supercorexpress,http://www.supercor.es,Conveniència,,"Carrer Gran de Gràcia,33"
Surkana,http://www.surkana.com,Moda,933004992,"Carrer Gran de Gràcia,56"
TDM,,Moda,932174971,"Carrer Gran de Gràcia,106"
Tea shop,http://www.teashop.eu,Tes,932174923,"Carrer Gran de Gràcia,91"
Tierra de Indias,,Moda dona,932 18 96 90,"Gran de Gràcia, 42"
Vall,,Complements,932179436,"Carrer Gran de Gràcia,165"
Vanilla Chocolate,,Moda dona,,"Gran de Gràcia, 120"
Vodafone,http://www.vodafone.es,Telefonia,932186037,"Carrer Gran de Gràcia,138"
Wonder Photo Shop,http://wonderphotoshop.es,Fotografia,934 088 787,"Carrer Gran de Gràcia, 1"
Xalma,,Marroquineria,932171169,"Carrer Gran de Gràcia,134"
